date,lat,lon,elevation_m,Hs_cm,density,SWE_cm,name
3/14/2022,60.951084,-149.323067,1159.764,134.6,0.289,38.9,adelie_point
3/14/2022,60.950831,-149.322911,1159.4592,119.4,0.288,34.4,adelie_point
3/14/2022,60.950281,-149.322445,1157.6304,91.4,0.327,29.9,adelie_point
3/14/2022,60.950308,-149.321864,1158.8496,158.8,0.367,58.3,adelie_point
3/14/2022,60.950715,-149.322196,1158.8496,132.1,0.362,47.8,adelie_point
3/14/2022,60.950717,-149.32227,1158.8496,236.2,0.383,90.4,adelie_point
3/14/2022,60.951295,-149.322144,1156.1064,101.6,0.287,29.1,adelie_point
3/14/2022,60.951532,-149.321808,1149.7056,71.1,0.315,22.4,adelie_point
3/14/2022,60.951586,-149.321822,1149.096,61.0,0.331,20.2,adelie_point
3/14/2022,60.957226,-149.210156,946.0992,175.3,0.085,14.9,chinstrap
3/14/2022,60.956179,-149.211322,943.0512,137.2,0.147,20.2,chinstrap
3/14/2022,60.956344,-149.211355,942.4416,114.3,0.157,17.9,chinstrap
3/14/2022,60.956422,-149.211738,936.9552,116.8,0.115,13.5,chinstrap
3/14/2022,60.956416,-149.210962,945.7944,58.4,0.358,20.9,chinstrap
3/14/2022,60.95682,-149.210407,947.928,45.7,0.360,16.4,chinstrap
3/14/2022,60.956806,-149.210422,947.928,71.1,0.357,25.4,chinstrap
3/14/2022,60.885615,-149.000206,1190.8536,52.1,0.287,14.9,blueberry
3/14/2022,60.885416,-148.999873,1194.2064,160.0,0.364,58.3,blueberry
3/14/2022,60.885445,-148.999908,1193.9016,188.0,0.350,65.8,blueberry
3/14/2022,60.885399,-148.999116,1199.9976,147.3,0.320,47.1,blueberry
3/14/2022,60.88552,-148.999742,1194.816,109.2,0.383,41.9,blueberry
3/14/2022,60.885522,-148.999692,1194.816,135.9,0.297,40.4,blueberry
3/14/2022,60.885841,-149.002281,1174.0896,66.0,0.351,23.2,blueberry
3/14/2022,60.885824,-149.002795,1171.956,139.7,0.358,50.1,blueberry
3/14/2022,60.885968,-149.003946,1166.1648,139.7,0.358,50.1,blueberry
3/14/2022,60.885664,-149.002568,1171.6512,69.9,0.353,24.7,blueberry
3/14/2022,60.885553,-149.001896,1175.3088,121.9,0.331,40.4,blueberry
3/14/2022,60.885611,-149.000684,1185.672,198.1,0.358,71.0,blueberry
3/14/2022,60.968721,-149.387507,1168.908,282.0,0.537,122.0,penguin
3/14/2022,60.966049,-149.381876,1254.8616,360.0,0.524,67.2,penguin
3/14/2022,60.963597,-149.388305,1046.6832,52.0,0.285,26.5,penguin
3/14/2022,60.963975,-149.388089,1046.0736,93.0,0.430,40.0,penguin
3/14/2022,60.964157,-149.386065,1079.6016,32.0,0.516,16.5,penguin
3/15/2022,60.975471,-149.134104,162.7632,178.0,0.280,50.0,chinstrap
3/15/2022,60.931252,-149.112148,637.9464,218.0,0.330,72.0,kern
3/15/2022,60.932589,-149.109233,743.1024,243.3,0.306,74.3,kern
3/15/2022,60.930456,-149.120618,487.0704,211.0,0.358,75.5,kern
3/15/2022,60.930026,-149.120283,462.6864,113.0,0.301,34.0,kern
3/16/2022,60.923212,-149.137452,15.8496,203.8,0.392,80.0,kern
3/16/2022,60.786919,-149.195017,422.148,240.0,0.313,75.1,tincan
3/16/2022,60.789637,-149.188297,499.5672,276.9,0.286,79.2,tincan
3/16/2022,60.788483,-149.179134,617.5248,281.9,0.249,70.3,tincan
3/16/2022,60.787951,-149.17405,683.9712,259.1,0.245,63.5,tincan
3/16/2022,60.7829,-149.203749,378.8664,210.0,0.348,73.0,tincan
3/16/2022,60.787044,-149.194931,420.9288,211.0,0.346,73.0,tincan
3/16/2022,60.789691,-149.18822,502.0056,290.0,0.297,86.2,tincan
3/16/2022,60.78853,-149.179081,616.0008,275.0,0.260,71.5,tincan
3/16/2022,60.787994,-149.173247,682.1424,292.0,0.239,69.7,tincan
3/17/2022,60.786166,-148.849069,29.8704,81.0,0.470,38.0,door 4
3/17/2022,60.812471,-148.943739,9.144,90.5,0.362,32.0,portage_moose_flats
3/17/2022,60.840057,-148.980869,7.9248,75.0,0.416,31.0,twenty_mile_river_railroad
